ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-94,diabetes,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.398268342,0.9326922894,10,32,"{'num_layers': 3, 'hidden_size_0': 29, 'hidden_size_1': 95, 'hidden_size_2': 29, 'dropout': 0.034858359022255356}",777
LNSD-99,diabetes,simple-mlp,uniform,0.25,forward,"[[[0.75, 0.25], [0.25, 0.75]]]",0.4374926388,0.9230769277,10,32,"{'num_layers': 3, 'hidden_size_0': 33, 'hidden_size_1': 96, 'hidden_size_2': 67, 'dropout': 0.024570339226993122}",777
LNSD-104,diabetes,simple-mlp,uniform,0.3,forward,"[[[0.7, 0.3], [0.3, 0.7]]]",0.5137652159,0.875,10,32,"{'num_layers': 3, 'hidden_size_0': 33, 'hidden_size_1': 96, 'hidden_size_2': 67, 'dropout': 0.024570339226993122}",777
LNSD-73,diabetes,simple-mlp,uniform,0,none,[],0.1509958357,0.9519230723,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-75,diabetes,simple-mlp,uniform,0.05,none,[],0.2387628704,0.913461566,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-81,diabetes,simple-mlp,uniform,0.1,none,[],0.2430287898,0.875,10,32,"{'num_layers': 2, 'hidden_size_0': 128, 'hidden_size_1': 11, 'dropout': 0.09542484644470389}",777
LNSD-86,diabetes,simple-mlp,uniform,0.15,none,[],0.3717190921,0.875,10,32,"{'num_layers': 1, 'hidden_size_0': 35, 'dropout': 0.00010037511480242428}",777
LNSD-91,diabetes,simple-mlp,uniform,0.2,none,[],0.4044516981,0.913461566,10,32,"{'num_layers': 3, 'hidden_size_0': 81, 'hidden_size_1': 9, 'hidden_size_2': 28, 'dropout': 0.06717361809832328}",777
LNSD-96,diabetes,simple-mlp,uniform,0.25,none,[],0.4415670633,0.9038461447,10,32,"{'num_layers': 1, 'hidden_size_0': 127, 'dropout': 0.14410910833052434}",777
LNSD-101,diabetes,simple-mlp,uniform,0.3,none,[],0.4940813482,0.8846153617,10,32,"{'num_layers': 2, 'hidden_size_0': 122, 'hidden_size_1': 48, 'dropout': 0.0010150823203880525}",777
LNSD-67,german,simple-mlp,uniform,0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.5048085451,0.7599999905,10,32,"{'num_layers': 1, 'hidden_size_0': 39, 'dropout': 0.12010978548317536}",777
LNSD-2,german,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.4416643977,0.7450000048,10,32,"{'num_layers': 2, 'hidden_size_0': 32, 'hidden_size_1': 31, 'dropout': 0.0012580989300100126}",777
LNSD-9,german,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.446796149,0.7200000286,10,32,"{'num_layers': 2, 'hidden_size_0': 37, 'hidden_size_1': 20, 'dropout': 0.17642523024107268}",777
LNSD-15,german,simple-mlp,uniform,0.15,backward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.4098169208,0.7350000143,10,32,"{'num_layers': 2, 'hidden_size_0': 8, 'hidden_size_1': 67, 'dropout': 0.07837396686597364}",777
LNSD-18,german,simple-mlp,uniform,0.2,backward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.1092669368,0.7549999952,10,32,"{'num_layers': 2, 'hidden_size_0': 84, 'hidden_size_1': 20, 'dropout': 0.09267596671215629}",777
LNSD-25,german,simple-mlp,uniform,0.25,backward,"[[[0.75, 0.25], [0.25, 0.75]]]",0.149664551,0.6999999881,10,32,"{'num_layers': 2, 'hidden_size_0': 12, 'hidden_size_1': 28, 'dropout': 0.01399951458001798}",777
LNSD-30,german,simple-mlp,uniform,0.3,backward,"[[[0.7, 0.3], [0.3, 0.7]]]",0.295671761,0.6299999952,10,32,"{'num_layers': 3, 'hidden_size_0': 9, 'hidden_size_1': 32, 'hidden_size_2': 8, 'dropout': 0.03346229878360988}",777
LNSD-65,german,simple-mlp,uniform,0,boot-hard,[],0.4677344859,0.7149999738,10,32,"{'num_layers': 2, 'hidden_size_0': 25, 'hidden_size_1': 16, 'dropout': 0.04610595244415188}",777
LNSD-1,german,simple-mlp,uniform,0.05,boot-hard,[],0.4596639276,0.7599999905,10,32,"{'num_layers': 2, 'hidden_size_0': 44, 'hidden_size_1': 21, 'dropout': 0.16104290065721055}",777
LNSD-7,german,simple-mlp,uniform,0.1,boot-hard,[],0.4959009886,0.7300000191,10,32,"{'num_layers': 1, 'hidden_size_0': 16, 'dropout': 0.17947137566378316}",777
LNSD-13,german,simple-mlp,uniform,0.15,boot-hard,[],0.5140721798,0.7350000143,10,32,"{'num_layers': 3, 'hidden_size_0': 43, 'hidden_size_1': 82, 'hidden_size_2': 51, 'dropout': 0.1634067599651262}",777
LNSD-21,german,simple-mlp,uniform,0.2,boot-hard,[],0.4810438454,0.7300000191,10,32,"{'num_layers': 1, 'hidden_size_0': 76, 'dropout': 0.01686602832870192}",777
LNSD-22,german,simple-mlp,uniform,0.25,boot-hard,[],0.5268725753,0.7099999785,10,32,"{'num_layers': 2, 'hidden_size_0': 67, 'hidden_size_1': 48, 'dropout': 0.18326407786459853}",777
LNSD-28,german,simple-mlp,uniform,0.3,boot-hard,[],0.5806410909,0.6949999928,10,32,"{'num_layers': 3, 'hidden_size_0': 50, 'hidden_size_1': 21, 'hidden_size_2': 67, 'dropout': 0.1574043771348292}",777
LNSD-62,german,simple-mlp,uniform,0,boot-soft,[],0.4867432117,0.7699999809,10,32,"{'num_layers': 2, 'hidden_size_0': 25, 'hidden_size_1': 54, 'dropout': 0.19570199898710425}",777
LNSD-8,german,simple-mlp,uniform,0.05,boot-soft,[],0.5339527726,0.7200000286,10,32,"{'num_layers': 1, 'hidden_size_0': 18, 'dropout': 0.16101673502492458}",777
LNSD-4,german,simple-mlp,uniform,0.1,boot-soft,[],0.5537502766,0.7300000191,10,32,"{'num_layers': 3, 'hidden_size_0': 9, 'hidden_size_1': 28, 'hidden_size_2': 80, 'dropout': 0.18539940954997894}",777
LNSD-11,german,simple-mlp,uniform,0.15,boot-soft,[],0.5363429189,0.7300000191,10,32,"{'num_layers': 2, 'hidden_size_0': 69, 'hidden_size_1': 25, 'dropout': 0.11055210411874372}",777
LNSD-17,german,simple-mlp,uniform,0.2,boot-soft,[],0.5285167098,0.7149999738,10,32,"{'num_layers': 1, 'hidden_size_0': 76, 'dropout': 0.01686602832870192}",777
LNSD-23,german,simple-mlp,uniform,0.25,boot-soft,[],0.5584632158,0.6949999928,10,32,"{'num_layers': 1, 'hidden_size_0': 123, 'dropout': 0.0023087701478221832}",777
